Distance_PFRC2_(m), Plug_flow_residence_time_PFRC2_(sec), Internal_surface_area_per_unit_distance_PFRC2_(m), Cross-section_area_PFRC2_(m2), External_surface_area_per_unit_distance_PFRC2_(m), Velocity_PFRC2_(m/sec), Exit_mass_flow_rate_PFRC2_(kg/sec), Volumetric_heat_production_rate_PFRC2_(J/m3-sec), Surface_temperature_PFRC2_(K), Heat_loss_rate_PFRC2_(J/m-sec), Temperature_PFRC2_(K), Pressure_PFRC2_(Pa), Mole_fraction_C2H2_PFRC2_(), Mole_fraction_C2H3_PFRC2_(), Mole_fraction_C2H3OH_PFRC2_(), Mole_fraction_C2H4_PFRC2_(), Mole_fraction_C2H5_PFRC2_(), Mole_fraction_C2H6_PFRC2_(), Mole_fraction_C3H3_PFRC2_(), Mole_fraction_C3H4-A_PFRC2_(), Mole_fraction_C3H4-P_PFRC2_(), Mole_fraction_C3H5-A_PFRC2_(), Mole_fraction_C3H6_PFRC2_(), Mole_fraction_C4H2_PFRC2_(), Mole_fraction_C4H4_PFRC2_(), Mole_fraction_C5H6-L_PFRC2_(), Mole_fraction_CH2CO_PFRC2_(), Mole_fraction_CH2O_PFRC2_(), Mole_fraction_CH3_PFRC2_(), Mole_fraction_CH3CHO_PFRC2_(), Mole_fraction_CH3COCHO_PFRC2_(), Mole_fraction_CH3OH_PFRC2_(), Mole_fraction_CH4_PFRC2_(), Mole_fraction_CO_PFRC2_(), Mole_fraction_CO2_PFRC2_(), Mole_fraction_H_PFRC2_(), Mole_fraction_H2_PFRC2_(), Mole_fraction_H2O_PFRC2_(), Mole_fraction_HCCOH_PFRC2_(), Mole_fraction_HCO_PFRC2_(), Mole_fraction_HO2_PFRC2_(), Mole_fraction_HOCHO_PFRC2_(), Mole_fraction_N2_PFRC2_(), Mole_fraction_NH3_PFRC2_(), Mole_fraction_O2_PFRC2_(), Mole_fraction_OH_PFRC2_(), Molecular_weight_PFRC2_(kg/mole), Mass_density_PFRC2_(kg/m3), Unburned_hydrocarbons_PFRC2_(ppm), Volatile_organic_compounds_PFRC2_(ppm)
1.350000e-01, 0.000000e+00, 1.130973e+00, 1.017876e-01, 1.130973e+00, 2.931665e-01, 1.766800e-01, 3.675728e+07, 1.816416e+03, 0.000000e+00, 1.816416e+03, 4.700000e+06, 3.075840e-04, 9.185087e-08, 2.944076e-07, 8.798252e-05, 2.431113e-08, 2.263364e-06, 1.426496e-07, 4.792818e-07, 1.206727e-06, 1.349823e-08, 2.776104e-07, 9.979803e-08, 8.433429e-08, 4.531463e-06, 1.702582e-06, 1.902946e-06, 2.191328e-05, 8.569360e-08, 7.763262e-08, 7.820839e-07, 9.379744e-03, 3.109025e-01, 8.941878e-02, 3.187518e-05, 2.773340e-01, 3.094547e-01, 6.326675e-08, 2.674411e-07, 4.210954e-08, 5.045810e-07, 3.026906e-03, 2.859366e-08, 1.622645e-05, 2.792604e-06, 1.902525e-02, 5.920769e+00, 1.022745e+04, 1.023550e+04
1.350226e-01, 7.723816e-05, 1.130973e+00, 1.017876e-01, 1.130973e+00, 2.931785e-01, 1.766800e-01, -2.922507e+07, 1.816370e+03, 2.501106e+04, 1.816370e+03, 4.700011e+06, 3.066698e-04, 9.007669e-08, 2.900604e-07, 8.731628e-05, 2.363552e-08, 2.153910e-06, 1.405199e-07, 4.772936e-07, 1.201139e-06, 1.322710e-08, 2.733835e-07, 9.945933e-08, 8.412022e-08, 4.531895e-06, 1.679746e-06, 1.887878e-06, 2.148870e-05, 8.435120e-08, 7.763231e-08, 7.659282e-07, 9.339876e-03, 3.109381e-01, 8.939887e-02, 3.138540e-05, 2.773969e-01, 3.094335e-01, 6.302284e-08, 2.634076e-07, 4.162301e-09, 5.047526e-07, 3.026699e-03, 2.859706e-08, 1.619080e-06, 2.747421e-06, 1.902394e-02, 5.920527e+00, 1.018373e+04, 1.019168e+04
1.353582e-01, 1.221898e-03, 1.130973e+00, 1.017876e-01, 1.130973e+00, 2.930393e-01, 1.766800e-01, -3.023917e+07, 1.813503e+03, 2.501106e+04, 1.813503e+03, 4.700011e+06, 2.759186e-04, 8.052637e-08, 2.609224e-07, 8.005594e-05, 2.143968e-08, 1.927954e-06, 1.161596e-07, 4.023658e-07, 1.013189e-06, 1.116883e-08, 2.349084e-07, 8.020742e-08, 6.934694e-08, 4.531446e-06, 1.544549e-06, 1.858726e-06, 1.976977e-05, 7.762052e-08, 7.754713e-08, 7.062225e-07, 8.820400e-03, 3.113620e-01, 8.912097e-02, 3.069255e-05, 2.785636e-01, 3.086866e-01, 5.569711e-08, 2.599243e-07, 5.097995e-13, 5.061688e-07, 3.023357e-03, 2.864904e-08, 7.518922e-11, 2.652127e-06, 1.900294e-02, 5.923340e+00, 9.584886e+03, 9.592387e+03
1.381734e-01, 1.084232e-02, 1.130973e+00, 1.017876e-01, 1.130973e+00, 2.923034e-01, 1.766800e-01, -1.376824e+07, 1.798722e+03, 2.501106e+04, 1.798722e+03, 4.700011e+06, 1.129325e-04, 3.228166e-08, 1.091249e-07, 3.690053e-05, 9.595465e-09, 9.170197e-07, 2.888349e-08, 1.104115e-07, 2.789417e-07, 3.134380e-09, 7.241180e-08, 1.301521e-08, 1.273056e-08, 4.300068e-06, 9.144474e-07, 1.743147e-06, 1.216225e-05, 3.988797e-08, 7.710863e-08, 4.408056e-07, 6.180968e-03, 3.133390e-01, 8.789476e-02, 2.749982e-05, 2.847269e-01, 3.046505e-01, 2.081063e-08, 2.438977e-07, 4.045334e-13, 5.131544e-07, 3.006264e-03, 2.923351e-08, 6.812346e-11, 2.220647e-06, 1.889550e-02, 5.938252e+00, 6.517822e+03, 6.523196e+03
1.470000e-01, 4.109907e-02, 1.130973e+00, 1.017876e-01, 1.130973e+00, 2.913102e-01, 1.766800e-01, -4.129738e+06, 1.781266e+03, 2.501106e+04, 1.781266e+03, 4.700011e+06, 2.271061e-05, 6.325434e-09, 2.265260e-08, 8.553633e-06, 2.148744e-09, 2.243141e-07, 2.494318e-09, 1.069086e-08, 2.709865e-08, 3.108592e-10, 8.024430e-09, 5.096415e-10, 5.764438e-10, 3.504849e-06, 3.843893e-07, 1.657581e-06, 5.252642e-06, 1.283397e-08, 7.662044e-08, 1.960651e-07, 3.119556e-03, 3.153358e-01, 8.663144e-02, 2.406962e-05, 2.916985e-01, 3.001582e-01, 3.791367e-09, 2.254261e-07, 2.742410e-13, 5.212369e-07, 2.987238e-03, 3.074129e-08, 4.585804e-11, 1.797044e-06, 1.877592e-02, 5.958497e+00, 3.205480e+03, 3.209173e+03
1.590000e-01, 8.233807e-02, 1.130973e+00, 1.017876e-01, 1.130973e+00, 2.907299e-01, 1.766800e-01, -1.632647e+06, 1.772439e+03, 2.501106e+04, 1.772439e+03, 4.700011e+06, 5.702947e-06, 1.566846e-09, 5.834579e-09, 2.307070e-06, 5.692842e-10, 6.217624e-08, 3.194141e-10, 1.423667e-09, 3.601494e-09, 4.142248e-11, 1.124964e-09, 3.206563e-11, 3.904066e-11, 2.742931e-06, 1.877510e-07, 1.632022e-06, 2.577734e-06, 5.250155e-09, 7.639274e-08, 9.984987e-08, 1.657072e-03, 3.161866e-01, 8.609427e-02, 2.247135e-05, 2.950029e-01, 2.980405e-01, 9.204266e-10, 2.163124e-07, 2.252382e-13, 5.252485e-07, 2.978369e-03, 3.191474e-08, 3.752847e-11, 1.614222e-06, 1.872018e-02, 5.970391e+00, 1.689533e+03, 1.692646e+03
1.710000e-01, 1.236391e-01, 1.130973e+00, 1.017876e-01, 1.130973e+00, 2.903932e-01, 1.766800e-01, -8.479968e+05, 1.767998e+03, 2.501106e+04, 1.767998e+03, 4.700011e+06, 1.930498e-06, 5.265522e-10, 2.023121e-09, 8.088411e-07, 1.976950e-10, 2.202635e-08, 7.157379e-11, 3.084207e-10, 7.708098e-10, 8.661518e-12, 2.367827e-10, 4.025707e-12, 5.028811e-12, 2.186127e-06, 1.077424e-07, 1.623459e-06, 1.478804e-06, 2.741926e-09, 7.628948e-08, 5.997954e-08, 9.890724e-04, 3.165417e-01, 8.587688e-02, 2.170211e-05, 2.965262e-01, 2.970594e-01, 3.124519e-10, 2.117854e-07, 2.042253e-13, 5.272412e-07, 2.974350e-03, 3.268918e-08, 3.396571e-11, 1.530057e-06, 1.869492e-02, 5.977314e+00, 1.007011e+03, 1.009897e+03
1.830000e-01, 1.649802e-01, 1.130973e+00, 1.017876e-01, 1.130973e+00, 2.901530e-01, 1.766800e-01, -1.286319e+06, 1.765237e+03, 2.501106e+04, 1.765237e+03, 4.700011e+06, 7.555653e-07, 2.034094e-10, 8.115249e-10, 3.232058e-07, 7.789430e-11, 8.828155e-09, 2.436426e-11, 9.534796e-11, 2.314205e-10, 2.404010e-12, 6.383912e-11, 8.808525e-13, 1.048191e-12, 1.758856e-06, 6.645785e-08, 1.619718e-06, 9.101632e-07, 1.599838e-09, 7.623322e-08, 3.924774e-08, 6.246708e-04, 3.167156e-01, 8.577707e-02, 2.125912e-05, 2.973733e-01, 2.965081e-01, 1.253343e-10, 2.092174e-07, 1.927817e-13, 5.284677e-07, 2.972164e-03, 3.330355e-08, 3.200509e-11, 1.482181e-06, 1.868118e-02, 5.982263e+00, 6.365524e+02, 6.393240e+02
1.950000e-01, 2.063520e-01, 1.130973e+00, 1.017876e-01, 1.130973e+00, 2.899593e-01, 1.766800e-01, -2.550166e+05, 1.763291e+03, 2.501106e+04, 1.763291e+03, 4.700011e+06, 3.233934e-07, 8.745887e-11, 3.608889e-10, 1.401226e-07, 3.384384e-11, 3.789789e-09, 1.200165e-11, 3.972751e-11, 9.214489e-11, 8.589832e-13, 2.019112e-11, 3.723307e-13, 4.403802e-13, 1.423375e-06, 4.287605e-08, 1.617983e-06, 5.866201e-07, 1.000898e-09, 7.619987e-08, 2.742079e-08, 4.089101e-04, 3.168021e-01, 8.573426e-02, 2.090820e-05, 2.978907e-01, 2.961658e-01, 5.595983e-11, 2.069578e-07, 1.845093e-13, 5.293229e-07, 2.970871e-03, 3.384028e-08, 3.063404e-11, 1.447001e-06, 1.867305e-02, 5.986258e+00, 4.175490e+02, 4.202558e+02
2.070000e-01, 2.477492e-01, 1.130973e+00, 1.017876e-01, 1.130973e+00, 2.897931e-01, 1.766800e-01, -2.031972e+05, 1.761804e+03, 2.501106e+04, 1.761804e+03, 4.700011e+06, 1.492960e-07, 4.020320e-11, 1.737152e-10, 6.520799e-08, 1.565397e-11, 1.734618e-09, 7.702312e-12, 2.270954e-11, 5.053900e-11, 4.131965e-13, 8.242582e-12, 2.387321e-13, 2.768280e-13, 1.156612e-06, 2.849715e-08, 1.617169e-06, 3.890716e-07, 6.526170e-10, 7.617907e-08, 2.018532e-08, 2.747871e-04, 3.168415e-01, 8.572193e-02, 2.066177e-05, 2.982266e-01, 2.959388e-01, 2.737335e-11, 2.054155e-07, 1.788602e-13, 5.299717e-07, 2.970066e-03, 3.433302e-08, 2.968126e-11, 1.422289e-06, 1.866800e-02, 5.989691e+00, 2.813921e+02, 2.840597e+02
2.190000e-01, 2.891689e-01, 1.130973e+00, 1.017876e-01, 1.130973e+00, 2.896428e-01, 1.766800e-01, -8.554336e+04, 1.760584e+03, 2.501106e+04, 1.760584e+03, 4.700011e+06, 7.378764e-08, 1.980459e-11, 9.015967e-11, 3.235793e-08, 7.724963e-12, 8.363761e-10, 5.655770e-12, 1.568068e-11, 3.401503e-11, 2.530186e-13, 4.307971e-12, 1.801380e-13, 2.082174e-13, 9.427503e-07, 1.943136e-08, 1.616866e-06, 2.647525e-07, 4.402408e-10, 7.616569e-08, 1.562934e-08, 1.889339e-04, 3.168532e-01, 8.572766e-02, 2.045682e-05, 2.984554e-01, 2.957796e-01, 1.450904e-11, 2.040962e-07, 1.743643e-13, 5.304994e-07, 2.969551e-03, 3.479823e-08, 2.892863e-11, 1.402344e-06, 1.866476e-02, 5.992800e+00, 1.941266e+02, 1.967696e+02
2.310000e-01, 3.306094e-01, 1.130973e+00, 1.017876e-01, 1.130973e+00, 2.895022e-01, 1.766800e-01, 7.706677e+03, 1.759530e+03, 2.501106e+04, 1.759530e+03, 4.700011e+06, 3.916676e-08, 1.048097e-11, 5.045448e-11, 1.718829e-08, 4.079880e-12, 4.258204e-10, 4.407454e-12, 1.190344e-11, 2.549773e-11, 1.800943e-13, 2.758336e-12, 1.429029e-13, 1.656498e-13, 7.703905e-07, 1.358366e-08, 1.616857e-06, 1.846886e-07, 3.060661e-10, 7.615690e-08, 1.269678e-08, 1.329585e-04, 3.168477e-01, 8.574461e-02, 2.027874e-05, 2.986179e-01, 2.956625e-01, 8.308521e-12, 2.029278e-07, 1.705934e-13, 5.309527e-07, 2.969214e-03, 3.524465e-08, 2.830018e-11, 1.385410e-06, 1.866265e-02, 5.995711e+00, 1.371088e+02, 1.397360e+02
